,customer message,admin reply
100,ท้ายตลาด ภรรยา คนละBroker กดผิด PTTGCU24 จะกด 38.19 ไปกด 39.19 match กับ ของผม,Login ปิดครับ
101,ท้ายตลาด ภรรยา คนละBroker กดผิด PTTGCU24 จะกด 38.19 ไปกด 39.19 match กับ ของผม,Login ปิดครับ
103,Login ปิดครับ,Login ผิดพลาดครับ
105,Login ผิดพลาดครับ,You sent a photo.
106,Login ผิดพลาดครับ,You sent a photo.
109,Port ภรรยา นึกว่า Match กลับกลายเป็น cancel ช่วยตรวจสอบให้ด้วย งงงง,9872882
111,9872882,ไม่น่ากดครับ
113,ไม่น่ากดครับ,Ok คงลืม
114,ไม่น่ากดครับ,Ok คงลืม
116,Ok คงลืม,กลับมา ใช้งาน MT4 notebook อีกเครื่อง status bar ขึ้น old version ต้งทำอย่างไรครับ?
119,You sent a photo.,ขอลิงค Pi MT4 ด้วยครับ
121,ขอลิงค Pi MT4 ด้วยครับ,You sent a sticker.
125,ผม กับ ภรรยา,"PTTGCM24 ผมตั้งราคาผิด จะKEY 39 ไป KEY 29

ภภรยามาชนกัน 1 สัญญา ครับ"
127,"PTTGCM24 ผมตั้งราคาผิด จะKEY 39 ไป KEY 29

ภภรยามาชนกัน 1 สัญญา ครับ","ง่วงๆ พิมพ์ เลขผิด ต้องการ พิมพ์ 22.31 พิมพ์ 23.31 ชน กับ ภรรยา
STAH25"
129,"ง่วงๆ พิมพ์ เลขผิด ต้องการ พิมพ์ 22.31 พิมพ์ 23.31 ชน กับ ภรรยา
STAH25",ครัย
130,"ง่วงๆ พิมพ์ เลขผิด ต้องการ พิมพ์ 22.31 พิมพ์ 23.31 ชน กับ ภรรยา
STAH25",ครัย
131,"ง่วงๆ พิมพ์ เลขผิด ต้องการ พิมพ์ 22.31 พิมพ์ 23.31 ชน กับ ภรรยา
STAH25",ครัย
134,"STAM24 
ชนกันเอง คนละโบรก
ชนกับภรรยาครับ
ขออภัย","วันนี้ ผมไปmatch กับ ภรรยา 1 con
PTTGCZ24 จะกด 30 กด 31 MATCH เลย"
136,"วันนี้ ผมไปmatch กับ ภรรยา 1 con
PTTGCZ24 จะกด 30 กด 31 MATCH เลย","ช่วยตรวจสอบ ให้port 98782280
ฝากเงิน 1500 มันไม่เข้าทันทีครับ"
138,"ช่วยตรวจสอบ ให้port 98782280
ฝากเงิน 1500 มันไม่เข้าทันทีครับ",ครับ ได้แล้วบอกด้วยครับ
140,ครับ ได้แล้วบอกด้วยครับ,ต้องทำอย่างไรครับ
142,ต้องทำอย่างไรครับ,"SCB
แล้วมันจะเข้าทันทีไหม"
143,ต้องทำอย่างไรครับ,"SCB
แล้วมันจะเข้าทันทีไหม"
144,ต้องทำอย่างไรครับ,"SCB
แล้วมันจะเข้าทันทีไหม"
145,ต้องทำอย่างไรครับ,"SCB
แล้วมันจะเข้าทันทีไหม"
147,"SCB
แล้วมันจะเข้าทันทีไหม",ครับ
148,"SCB
แล้วมันจะเข้าทันทีไหม",ครับ
151,ได้แล้วครับ,"Streaming หลุดทุกวัน
AIS FIBER ตรวจให้ ไม่หลุด
ปกติ หลุด เวลา 11h46
วันนี้หลุด 11h14

ช่วยตรวจสอบให้ด้วยครับ"
153,"Streaming หลุดทุกวัน
AIS FIBER ตรวจให้ ไม่หลุด
ปกติ หลุด เวลา 11h46
วันนี้หลุด 11h14

ช่วยตรวจสอบให้ด้วยครับ",มี1 วัน week ชนกับภรรยา ครับ
154,"Streaming หลุดทุกวัน
AIS FIBER ตรวจให้ ไม่หลุด
ปกติ หลุด เวลา 11h46
วันนี้หลุด 11h14

ช่วยตรวจสอบให้ด้วยครับ",มี1 วัน week ชนกับภรรยา ครับ
157,วันนี้ มีชน BgrimZ24 ครับ,ผมไปmatch กับ ภรรยา BGRIMZ24 
159,ผมไปmatch กับ ภรรยา BGRIMZ24 ,ทำไม Bgrim ลงหนักจังครับ
161,ทำไม Bgrim ลงหนักจังครับ,You sent a sticker.
162,ทำไม Bgrim ลงหนักจังครับ,You sent a sticker.
165,PTTGCZ24 PORT ภรรยา กับผมมีชนกันครับ,"สักครู่ มีข่าวอะไรไหม
SET ลงมาแรงจัง?"
167,"สักครู่ มีข่าวอะไรไหม
SET ลงมาแรงจัง?",เรื่องใหญ่เลย
169,เรื่องใหญ่เลย,"มีmatch  กับ ภรรยา
PTTGCM25"
170,เรื่องใหญ่เลย,"มีmatch  กับ ภรรยา
PTTGCM25"
172,"มีmatch  กับ ภรรยา
PTTGCM25","มี match กับ ภรรยาบ้าง 
PTTGCM, H ช่วงนี้"
174,"มี match กับ ภรรยาบ้าง 
PTTGCM, H ช่วงนี้",You sent a photo.
175,"มี match กับ ภรรยาบ้าง 
PTTGCM, H ช่วงนี้",You sent a photo.
176,"มี match กับ ภรรยาบ้าง 
PTTGCM, H ช่วงนี้",You sent a photo.
179,แบบนี้ minimum ต้องเติมเท่าไรครับ,ครับเติม realtime ครับ
180,แบบนี้ minimum ต้องเติมเท่าไรครับ,ครับเติม realtime ครับ
181,แบบนี้ minimum ต้องเติมเท่าไรครับ,ครับเติม realtime ครับ
182,แบบนี้ minimum ต้องเติมเท่าไรครับ,ครับเติม realtime ครับ
183,แบบนี้ minimum ต้องเติมเท่าไรครับ,ครับเติม realtime ครับ
185,ครับเติม realtime ครับ,Ok ครับ
186,ครับเติม realtime ครับ,Ok ครับ
187,ครับเติม realtime ครับ,Ok ครับ
190,ขอstatement online ไปตั้งแต่เมื่อคืน ตอนนี้ยังไม่ได้ครับ,Email ถูกไหมครับ ต้องมี.com อะไรไหมครับ
192,Email ถูกไหมครับ ต้องมี.com อะไรไหมครับ,ส่งให้แล้วครับ
193,Email ถูกไหมครับ ต้องมี.com อะไรไหมครับ,ส่งให้แล้วครับ
194,Email ถูกไหมครับ ต้องมี.com อะไรไหมครับ,ส่งให้แล้วครับ
204,"You sent a photo.
เติม call ค่ะ",ค่ะ
205,"You sent a photo.
เติม call ค่ะ",ค่ะ
207,ค่ะ,ค่ะ
210,"You sent a photo.
เติม call ค่ะ",ค่ะ
211,"You sent a photo.
เติม call ค่ะ",ค่ะ
214,"You sent a photo.
เติม call ค่ะ","You sent a photo.
เติม call ค่ะ"
216,"You sent a photo.
เติม call ค่ะ",ค่ะ
217,"You sent a photo.
เติม call ค่ะ",ค่ะ
220,"You sent a photo.
เติม call ค่ะ",You sent a sticker.
221,"You sent a photo.
เติม call ค่ะ",You sent a sticker.
223,You sent a sticker.,ค่ะ
225,ค่ะ,สักครู่นะคะ
227,สักครู่นะคะ,"You sent a photo.
เติม call ค่ะ"
229,"You sent a photo.
เติม call ค่ะ","You sent a photo.
เติม call ค่ะ"
231,"You sent a photo.
เติม call ค่ะ",ค่ะ
232,"You sent a photo.
เติม call ค่ะ",ค่ะ
235,"You sent a photo.
เติม call ค่ะ",ค่ะ
236,"You sent a photo.
เติม call ค่ะ",ค่ะ
237,"You sent a photo.
เติม call ค่ะ",ค่ะ
240,"You sent a photo.
เติม call ค่ะ",ค่ะ
241,"You sent a photo.
เติม call ค่ะ",ค่ะ
244,"You sent a photo.
เติม call ค่ะ","You sent a photo.
เติม call ค่ะ"
246,"You sent a photo.
เติม call ค่ะ",ค่ะ
247,"You sent a photo.
เติม call ค่ะ",ค่ะ
249,ค่ะ,ค่ะ
252,"You sent a photo.
สอบถามค่ะ มันขึ้นมาแบบนี้ค่ะ
ตอนจะเปิดกราฟ
ปกติไม่เคยขึ้นแบบนี้เลยค่ะ","ใช่ค่ะ
เข้าจากเวป แล้ว link ไป e-finance ค่ะ"
254,"ใช่ค่ะ
เข้าจากเวป แล้ว link ไป e-finance ค่ะ","ค่ะ
ตอนนี้คือเปิดดูกราฟไม่ได้ค่ะ"
256,"ค่ะ
ตอนนี้คือเปิดดูกราฟไม่ได้ค่ะ",เรียบร้อยแล้วค่ะขอบคุณค่ะ
258,เรียบร้อยแล้วค่ะขอบคุณค่ะ,ค่ะ
260,ค่ะ,ค่ะ
262,ค่ะ,ค่ะ
265,"You sent a photo.
เติม call ค่ะ",ขอบคุณค่ะ
266,"You sent a photo.
เติม call ค่ะ",ขอบคุณค่ะ
268,ขอบคุณค่ะ,ค่ะ
271,"You sent a photo.
เติม call ค่ะ",ค่ะ
272,"You sent a photo.
เติม call ค่ะ",ค่ะ
273,"You sent a photo.
เติม call ค่ะ",ค่ะ
275,ค่ะ,ค่ะ
277,ค่ะ,ค่ะ
280,"You sent a photo.
เติม call ค่ะ",You sent a sticker.
281,"You sent a photo.
เติม call ค่ะ",You sent a sticker.
283,You sent a sticker.,ค่ะ
285,ค่ะ,ค่ะ
287,ค่ะ,ค่ะ
290,"You sent a photo.
เติม call ค่ะ",เติม call ค่ะ
292,เติม call ค่ะ,"รูป slip ส่งไม่ไป รอซักครู่นะคะ
You sent a photo."
294,"รูป slip ส่งไม่ไป รอซักครู่นะคะ
You sent a photo.",ค่ะ
295,"รูป slip ส่งไม่ไป รอซักครู่นะคะ
You sent a photo.",ค่ะ
297,ค่ะ,ค่ะ
299,ค่ะ,ค่ะ
302,"You sent a photo.
เติม call ค่ะ",ค่ะ
303,"You sent a photo.
เติม call ค่ะ",ค่ะ
305,ค่ะ,ค่ะ
306,ค่ะ,ค่ะ
308,ค่ะ,ค่ะ
310,ค่ะ,ค่ะ
313,"You sent a photo.
เติม call ค่ะ",ค่ะ
314,"You sent a photo.
เติม call ค่ะ",ค่ะ
317,"You sent a photo.
เติม call ค่ะ",ค่ะ
318,"You sent a photo.
เติม call ค่ะ",ค่ะ
321,สอบถาม margin s50 ที่จะปรับวันที่ 17 ต.ค.นี้ค่ะ,You sent a sticker.
322,สอบถาม margin s50 ที่จะปรับวันที่ 17 ต.ค.นี้ค่ะ,You sent a sticker.
324,You sent a sticker.,ค่ะ
326,ค่ะ,ค่ะ
329,"You sent a photo.
เติม call ค่ะ",ค่ะ
330,"You sent a photo.
เติม call ค่ะ",ค่ะ
332,ค่ะ,ค่ะ
335,"You sent a photo.
เติม call ค่ะ",ค่ะ
336,"You sent a photo.
เติม call ค่ะ",ค่ะ
337,"You sent a photo.
เติม call ค่ะ",ค่ะ
340,You sent a photo.,ค่ะ
341,You sent a photo.,ค่ะ
344,"You sent a photo.
เติม call ค่ะ",ค่ะ
345,"You sent a photo.
เติม call ค่ะ",ค่ะ
346,"You sent a photo.
เติม call ค่ะ",ค่ะ
349,"You sent a photo.
เติม call ค่ะ",ค่ะ
350,"You sent a photo.
เติม call ค่ะ",ค่ะ
352,ค่ะ,ค่ะ
355,"You sent a photo.
เติม call ค่ะ",ค่ะ
356,"You sent a photo.
เติม call ค่ะ",ค่ะ
358,ค่ะ,ค่ะ
360,ค่ะ,ค่ะ
362,ค่ะ,ค่ะ
364,ค่ะ,ค่ะ
367,"You sent a photo.
เติม call ค่ะ",You sent a sticker.
368,"You sent a photo.
เติม call ค่ะ",You sent a sticker.
370,You sent a sticker.,ค่ะ
372,ค่ะ,ค่ะ
373,ค่ะ,ค่ะ
375,ค่ะ,ไม่สะดวกไปค่ะ ขอบคุณค่ะ
377,ไม่สะดวกไปค่ะ ขอบคุณค่ะ,ค่ะ
378,ไม่สะดวกไปค่ะ ขอบคุณค่ะ,ค่ะ
380,ค่ะ,"จะฝากเข้ากสิกร ทำรายการไม่ได้ค่ะ
ขึ้นว่าบัญชีปลายทางไม่สามารถทำรายการได้"
383,ขอเลขรหัสบัญชีหน่อยค่ะ เพราะ search เข้าไป มีแต่ บล.พาย(จองซื้อหุ้น),SCB ได้เหมือนเดิมใช่มั้ยคะ
385,SCB ได้เหมือนเดิมใช่มั้ยคะ,"You sent a photo.
เติมแล้วค่ะ"
387,"You sent a photo.
เติมแล้วค่ะ",ค่ะ
388,"You sent a photo.
เติมแล้วค่ะ",ค่ะ
389,"You sent a photo.
เติมแล้วค่ะ",ค่ะ
391,ค่ะ,ค่ะ
394,"สวัสดีค่ะหาบัญชีที่จะเติมเงินใน SCB ไม่เจอเลยค่ะ
ไม่เจอ บมจ. พาย","You sent a photo.
เติม call ค่ะ"
396,"You sent a photo.
เติม call ค่ะ",ถ้าเติมให้พ้น force แต่ยัง call อยู่ได้ไหมคะ
397,"You sent a photo.
เติม call ค่ะ",ถ้าเติมให้พ้น force แต่ยัง call อยู่ได้ไหมคะ
399,ถ้าเติมให้พ้น force แต่ยัง call อยู่ได้ไหมคะ,ค่ะ
400,ถ้าเติมให้พ้น force แต่ยัง call อยู่ได้ไหมคะ,ค่ะ
402,ค่ะ,ค่ะ
404,ค่ะ,ค่ะ
407,"You sent a photo.
เติม call ค่ะ",Login ผ่านหน้า web ไม่ได้ แต่ผ่านมือถือได้ค่ะ แก้ยังไงคะ 
408,"You sent a photo.
เติม call ค่ะ",Login ผ่านหน้า web ไม่ได้ แต่ผ่านมือถือได้ค่ะ แก้ยังไงคะ 
410,Login ผ่านหน้า web ไม่ได้ แต่ผ่านมือถือได้ค่ะ แก้ยังไงคะ ,แก้ไขได้เมื่อไหร่ แจ้งด้วยนะคะ
412,แก้ไขได้เมื่อไหร่ แจ้งด้วยนะคะ,You sent a sticker.
413,แก้ไขได้เมื่อไหร่ แจ้งด้วยนะคะ,You sent a sticker.
415,You sent a sticker.,ค่ะ
418,สอบถามค่ะ สรุปวันนี้ต้องเติม call เท่าไหร่คะ,ค่ะ สักครู่นะคะ
421,"You sent a photo.
เติมเรียบร้อยค่ะ
ขอบคุณค่ะ",You sent a sticker.
422,"You sent a photo.
เติมเรียบร้อยค่ะ
ขอบคุณค่ะ",You sent a sticker.
424,You sent a sticker.,ค่ะ
426,ค่ะ,"You sent a photo.
เติม call ค่ะ
ขอบคุณค่ะ"
428,"You sent a photo.
เติม call ค่ะ
ขอบคุณค่ะ",ค่ะ
429,"You sent a photo.
เติม call ค่ะ
ขอบคุณค่ะ",ค่ะ
432,"You sent a photo.
เติม call ค่ะ",You sent a sticker.
433,"You sent a photo.
เติม call ค่ะ",You sent a sticker.
435,You sent a sticker.,ค่ะ
437,ค่ะ,สักครู่นะคะ
439,สักครู่นะคะ,"You sent a photo.
เติม call ค่ะ"
441,"You sent a photo.
เติม call ค่ะ",ค่ะ ขอบคุณค่ะ
442,"You sent a photo.
เติม call ค่ะ",ค่ะ ขอบคุณค่ะ
445,ส่งคำสั่งถอนเงินไป ยังไม่เห็นจัดการเลยค่ะ,01194070
447,01194070,ค่ะ
448,01194070,ค่ะ
449,01194070,ค่ะ
450,01194070,ค่ะ
451,01194070,ค่ะ
452,01194070,ค่ะ
455,You sent a photo.,ค่ะ
456,You sent a photo.,ค่ะ
459,"You sent a photo.
Website เข้า login ไม่ได้ค่ะ","You sent a photo.
เติม call ค่ะ"
461,"You sent a photo.
เติม call ค่ะ",You sent a sticker.
462,"You sent a photo.
เติม call ค่ะ",You sent a sticker.
463,"You sent a photo.
เติม call ค่ะ",You sent a sticker.
466,S50 lvoเปน s อยุ่ปะคับ,ครับ
469,"เมื่อวานที่แนะนำปิดช้อต
S50
คือระบบไหนคับ","ระบบไหนครับ
เพราะไม่ได้มีแนะนำเปิดช้อตภายในวันเมื่อวานนะคับ"
471,"ระบบไหนครับ
เพราะไม่ได้มีแนะนำเปิดช้อตภายในวันเมื่อวานนะคับ",ครับ
474,"You sent a photo.
อันนี้คนละอันกะlvo?","เหนมีแนะนำช้อต860อีกล่าสึด
สุด
มีกี่ระบบครับ"
476,"เหนมีแนะนำช้อต860อีกล่าสึด
สุด
มีกี่ระบบครับ",โอเคคับ
477,"เหนมีแนะนำช้อต860อีกล่าสึด
สุด
มีกี่ระบบครับ",โอเคคับ
480,โดนคอลมั้ยครับ,ครับ
482,ครับ,You sent a sticker.
485,Lvoยังช้อตมั้ยครับ s50,ครับ
488,Lvoเปลี่ยนหน้่มั้ยครับ,ครับ
492,จะกด829,พลาด
495,"Lvo ทำไมเปลี่ยนเปนช้อตครับ
มันขึ้นอยุ่นะครับ",อ่อครับ
498,"อยากเทรดdrxอะครับ
แต่ตอนนี้มันเปิดไม่ได้อะครัย
You sent a photo.","อ้าวหรอครับ
คิดว่ากดทางออนไลได้เลย"
500,"อ้าวหรอครับ
คิดว่ากดทางออนไลได้เลย","ไมาได้อ่ะคับ
You sent a photo.
กดแล้วขึ้นแบบนี้"
502,"ไมาได้อ่ะคับ
You sent a photo.
กดแล้วขึ้นแบบนี้",สอบถามครับ ปกติdrx ดูกราฟทางไหนครับ
504,สอบถามครับ ปกติdrx ดูกราฟทางไหนครับ,"ตรงไหนครับ
แบบมีindicator
เหมือนหุ้นไทยอะครับ
เทกนิกอะคับ"
506,"ตรงไหนครับ
แบบมีindicator
เหมือนหุ้นไทยอะครับ
เทกนิกอะคับ","ราคามันไม่ตรงกับราคาของหุ้นนั้นในusdอ่ะครับ
ราคามันเปลี่ยนเท่ากันเลยมั้ยครับ
หมายถึงคิดเปน%"
508,"ราคามันไม่ตรงกับราคาของหุ้นนั้นในusdอ่ะครับ
ราคามันเปลี่ยนเท่ากันเลยมั้ยครับ
หมายถึงคิดเปน%",ครับ
511,ค่าคอมdrxนี่เท่าไรครับ,เท่าหุ้นปกติปะครับ
513,เท่าหุ้นปกติปะครับ,โอเคครับ
516,Lvoยังs มั้ยครับ,ครับ
519,"Mgi
นี่จะซื้อได้ยังไงครับ
กดแล้วreject",กดผิด ครับ
521,กดผิด ครับ,ตกcallเท่าไรครับตอนนี้
523,ตกcallเท่าไรครับตอนนี้,Okครับ
526,สรุปเท่าไรครับ,"รหัสต้องมี0ข้างหลังป่าวครับ
ลืม"
528,"รหัสต้องมี0ข้างหลังป่าวครับ
ลืม",You sent a photo.
530,You sent a photo.,"แล้วtfexเปิดเปน14.00มั้ยครับ
S50"
532,"แล้วtfexเปิดเปน14.00มั้ยครับ
S50",โอเคครับ
535,S50 lvoเปลี่ยนเปนlยังครับ,You sent a sticker.
538,"You sent a photo.
สอบถามหน่อยครับ
ทำไมราคาsettleมันต่ำกว่าราคาโลได้
ทั้งๆที่มันนับราคาเฉลี่ยช่วงใกล้ปิดนิครับ","ค่าที่ได้ก้น่าจะเฉลี่ยขึ้นนะครับ
ทำไมจะต่ำว่าราคาต่ำสุดได้"
540,"ค่าที่ได้ก้น่าจะเฉลี่ยขึ้นนะครับ
ทำไมจะต่ำว่าราคาต่ำสุดได้",โอเคครับ
541,"ค่าที่ได้ก้น่าจะเฉลี่ยขึ้นนะครับ
ทำไมจะต่ำว่าราคาต่ำสุดได้",โอเคครับ
544,S50 lvo เปนshortป่พครับ,ครับ
547,"Bbikนี่xdเปนไอะไรครับ
ทำไมลบตั้ฃ40%",ได้เมื่อไีครับ
548,"Bbikนี่xdเปนไอะไรครับ
ทำไมลบตั้ฃ40%",ได้เมื่อไีครับ
550,ได้เมื่อไีครับ,You sent a sticker.
553,เติมเงินtfexได้ถึงกี่โมงครับ,ครับ
556,S50ถัดไปถึงไหนครับ,You sent a sticker.
557,S50ถัดไปถึงไหนครับ,You sent a sticker.
559,You sent a sticker.,ครับ
562,Gom24 นี่ใช้สันยานเหมือนlvoป่าวครับ,ครับ
565,Gomยังs อยุ่มั้ยครับ,ครับ
568,ทองไม่ปิดเที่ยงหรอครับ,อ่อครับ
571,Lvo s50ยังsมั้ยครับ,ครับ
574,"Order go
กดแคนเซนเซิลได้กี่โมงครับ",ถ้ากดไม่ทัน 1950 ก้แมทเลยป่ะครับ
576,ถ้ากดไม่ทัน 1950 ก้แมทเลยป่ะครับ,อ่อครับ พิมผิด 
579,วันนี้มีจ่ายหุ้นมั้ยครับ,You sent a sticker.
581,You sent a sticker.,You sent a sticker.
582,You sent a sticker.,You sent a sticker.
585,Tfexสามารถสั่งล่วงหน้าได้มั้ยครับ,ทำที่ตรงไหนครับ
587,ทำที่ตรงไหนครับ,"เฉพาะpcหรอครับ
พอดีใชัแต่iphone ipad"
589,"เฉพาะpcหรอครับ
พอดีใชัแต่iphone ipad",อ่อคระบ
592,ตอนนี้goมีกี่ซีรี่อ่ะค้บ,Gozทำไมเซิซไม่เจอครับ
593,ตอนนี้goมีกี่ซีรี่อ่ะค้บ,Gozทำไมเซิซไม่เจอครับ
595,Gozทำไมเซิซไม่เจอครับ,Zไม่เจอครับ
597,Zไม่เจอครับ,โอเคครับ
600,เซตติ้งตรงไหนนะครับที่ไม่ให้สตรีมมันล้อกเอ้าหลุดเองอะครับ,You sent a sticker.
601,เซตติ้งตรงไหนนะครับที่ไม่ให้สตรีมมันล้อกเอ้าหลุดเองอะครับ,You sent a sticker.
604,Goยังเปนlอยุ่มั้ยคระบ,You sent a sticker.
607,หุ้นที่เปิดมาฟลอ ถ้าตั้งatoจะขายได้มั้ยครับ,"แล้วมันเปิดมาfloorได้ไงถ้าไม่มีคนรับ ไม่ค่อยเข้าใจ
ครับ"
609,"แล้วมันเปิดมาfloorได้ไงถ้าไม่มีคนรับ ไม่ค่อยเข้าใจ
ครับ",อ่อครับ
